"Product_Collection","Vertical_Segment","Processor_Number","Status","Launch_Date","Lithography","Recommended_Customer_Price","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","Max_Turbo_Frequency","Cache","Bus_Speed","TDP","Embedded_Options_Available","Conflict_Free","Max_Memory_Size","Memory_Types","Max_nb_of_Memory_Channels","Max_Memory_Bandwidth","ECC_Memory_Supported","Graphics_Base_Frequency","Graphics_Max_Dynamic_Frequency","Graphics_Video_Max_Memory","Graphics_Output","Max_Resolution_HDMI","Max_Resolution_DP","Max_Resolution_eDP_Integrated_Flat_Panel","DirectX_Support","PCI_Express_Revision","PCI_Express_Configurations_","Max_nb_of_PCI_Express_Lanes","T","Intel_Hyper_Threading_Technology_","Intel_Virtualization_Technology_VTx_","Intel_64_","Instruction_Set","Instruction_Set_Extensions","Idle_States","Thermal_Monitoring_Technologies","Secure_Key","Execute_Disable_Bit"
"Intel® Celeron® Processor G Series","Desktop","G3900T","Launched",2015,14,303,2,2,2.6,3.3,2,4,35,FALSE,TRUE,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",2,34.1,TRUE,350,950,64,"eDP/DP/HDMI/DVI","4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","Up to 1x16, 2x8, 1x8+2x4",16,83,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor G Series","Embedded","G3900E","Launched",2016,14,107,2,2,2.4,3.3,2,4,35,TRUE,TRUE,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",2,34.1,TRUE,350,950,64,"eDP/DP/HDMI/DVI","4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","Up to 1x16, 2x8, 1x8+2x4",16,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor G Series","Embedded","G3900TE","Launched",2015,14,42,2,2,2.3,3.3,2,4,35,TRUE,TRUE,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",2,34.1,TRUE,350,950,64,"eDP/DP/HDMI/DVI","4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","Up to 1x16, 2x8, 1x8+2x4",16,83,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor G Series","Desktop","G3920","Launched",2015,14,52,2,2,2.9,3.3,2,4,51,FALSE,TRUE,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",2,34.1,TRUE,350,950,64,"eDP/DP/HDMI/DVI","4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","Up to 1x16, 2x8, 1x8+2x4",16,83,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor G Series","Embedded","G3902E","Launched",2016,14,107,2,2,1.6,3.3,2,4,25,TRUE,TRUE,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",2,34.1,TRUE,350,950,64,"eDP/DP/HDMI/DVI","4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","Up to 1x16, 2x8, 1x8+2x4",16,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor G Series","Desktop","G3930","Launched",2017,14,42,2,2,2.9,3.3,2,4,51,FALSE,TRUE,64,"DDR4 2133, DDR3L 1333/1600 @ 1.35V",2,25.6,TRUE,350,1050,64,NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","Up to 1x16, 2x8, 1x8+2x4",16,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor G Series","Desktop","G3930E","Launched",2017,32,42,2,2,2.9,3.3,2,4,54,TRUE,TRUE,64,"DDR4-2133, DDR3L-1600",2,25.6,TRUE,350,1000,64,NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","Up to 1x16, 2x8, 1x8+2x4",16,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor G Series","Desktop","G3930T","Launched",2017,14,42,2,2,2.7,3.3,2,4,35,FALSE,TRUE,64,"DDR4 2133, DDR3L 1333/1600 @ 1.35V",2,25.6,TRUE,350,1000,64,NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","Up to 1x16, 2x8, 1x8+2x4",16,92,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor G Series","Desktop","G3930TE","Launched",2017,32,42,2,2,2.7,3.3,2,4,35,TRUE,TRUE,64,"DDR4-2133, DDR3L-1600",2,25.6,TRUE,350,950,64,NA,"4096x2304@24Hz","4096x2304@60Hz","4096X2304@60Hz",TRUE,"3","Up to 1x16, 2x8, 1x8+2x4",16,88,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor G Series","Desktop","G3950","Launched",2017,14,52,2,2,3,3.3,2,4,51,FALSE,TRUE,64,"DDR4 2133, DDR3L 1333/1600 @ 1.35V",2,25.6,TRUE,350,1050,64,NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","Up to 1x16, 2x8, 1x8+2x4",16,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor J Series","Desktop","J1800","Launched",2013,22,72,2,2,2.41,3.3,1,4,10,FALSE,TRUE,8,"DDR3L 1333",2,25.6,FALSE,688,792,8,NA,NA,NA,NA,FALSE,"2","X4, X2, X1",4,105,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor J Series","Desktop","J1900","Launched",2013,22,82,4,4,2,3.3,2,4,10,TRUE,TRUE,8,"DDR3L 1333",2,25.6,FALSE,688,854,8,NA,NA,NA,NA,FALSE,"2","X4, X2, X1",4,105,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor J Series","Desktop","J1850","Launched",2013,22,303,4,4,2,3.3,2,4,10,FALSE,TRUE,8,"DDR3L 1333",2,25.6,FALSE,688,792,8,NA,NA,NA,NA,FALSE,"2","X4, X2, X1",4,100,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor J Series","Desktop","J3060","Launched",2016,14,107,2,2,1.6,3.3,2,4,6,FALSE,TRUE,8,"DDR3L-1600",2,25.6,FALSE,320,1050,8,"eDP/DP/HDMI",NA,NA,NA,FALSE,"2","1x4/2x2/1x2 + 2x1/4x1",4,90,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor J Series","Desktop","J3160","Launched",2016,14,303,4,4,1.6,3.3,2,4,6,FALSE,TRUE,8,"DDR3L-1600",2,25.6,FALSE,320,1050,8,"eDP/DP/HDMI",NA,NA,NA,FALSE,"2","1x4/2x2/1x2 + 2x1/4x1",4,90,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor J Series","Desktop","J3355","Launched",2016,14,107,2,2,2,3.3,2,4,10,FALSE,TRUE,8,"DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s",2,25.6,FALSE,250,1050,8,"eDP/DP/HDMI/MIPI-DSI",NA,NA,NA,FALSE,"2","1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2",6,105,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor J Series","Desktop","J3455","Launched",2016,14,107,4,4,1.5,3.3,2,4,10,FALSE,TRUE,8,"DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s",2,25.6,FALSE,250,1050,8,"eDP/DP/HDMI/MIPI-DSI",NA,NA,NA,FALSE,"2","1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2",6,105,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N2806","Launched",2013,22,107,2,2,1.6,3.3,1,4,4.5,FALSE,TRUE,4,"DDR3L 1066",1,25.6,FALSE,313,756,8,NA,NA,NA,NA,FALSE,"2",NA,4,105,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N2807","Launched",2014,22,107,2,2,1.58,3.3,1,4,4.3,TRUE,TRUE,4,"DDR3L 1333",1,25.6,FALSE,313,750,8,NA,NA,NA,NA,FALSE,"2","1x4",4,105,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N2808","Launched",2014,22,107,2,2,1.58,3.3,1,4,4.5,FALSE,TRUE,4,"DDR3L 1333",1,10.66,FALSE,311,792,8,NA,NA,NA,NA,FALSE,"2","1x4",4,100,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N2810","Launched",2013,22,303,2,2,2,3.3,1,4,7.5,FALSE,TRUE,8,"DDR3L 1066",2,25.6,FALSE,313,756,8,NA,NA,NA,NA,FALSE,"2","1x4",4,100,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N2815","Launched",2013,22,303,2,2,1.86,3.3,1,4,7.5,FALSE,TRUE,8,"DDR3L 1066",2,25.6,FALSE,313,756,8,NA,NA,NA,NA,FALSE,"2",NA,4,105,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N2820","Launched",2013,22,303,2,2,2.13,3.3,1,4,7.5,FALSE,TRUE,8,"DDR3L 1066",2,25.6,FALSE,313,756,8,NA,NA,NA,NA,FALSE,"2",NA,4,105,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N2830","Launched",2014,22,107,2,2,2.16,3.3,1,4,7.5,FALSE,TRUE,8,"DDR3L 1333",2,25.6,FALSE,313,750,8,NA,NA,NA,NA,FALSE,"2","1x4",4,100,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N2840","Launched",2014,22,107,2,2,2.16,3.3,1,4,7.5,FALSE,TRUE,8,"DDR3L 1333",2,21.32,FALSE,311,792,8,NA,NA,NA,NA,FALSE,"2","1x4",4,100,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N2910","Launched",2013,22,303,4,4,1.6,3.3,2,4,7.5,FALSE,TRUE,8.79,"DDR3L 1066",2,25.6,FALSE,313,756,8,NA,NA,NA,NA,FALSE,"2","1x4",4,100,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N2920","End of Life",2013,22,303,4,4,1.86,3.3,2,4,7.5,TRUE,TRUE,8,"DDR3L 1066",2,25.6,FALSE,313,844,8,NA,NA,NA,NA,FALSE,"2",NA,4,105,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N2930","Launched",2014,22,107,4,4,1.83,3.3,2,4,7.5,TRUE,TRUE,8,"DDR3L 1333",2,25.6,FALSE,313,854,8,NA,NA,NA,NA,FALSE,"2","1x4",4,100,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N2940","Launched",2014,22,107,4,4,1.83,3.3,2,4,7.5,FALSE,TRUE,8,"DDR3L 1333",2,21.32,FALSE,313,854,8,NA,NA,NA,NA,FALSE,"2","1x4",4,100,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N3450","Launched",2016,14,107,4,4,1.1,3.3,2,4,6,FALSE,TRUE,8,"DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s",2,25.6,FALSE,200,1050,8,"eDP/DP/HDMI/MIPI-DSI",NA,NA,NA,FALSE,"2","1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2",6,105,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N3350","Launched",2016,14,107,2,2,1.1,3.3,2,4,6,TRUE,TRUE,8,"DDR3L/LPDDR3 up to 1866 MT/s; ,LPDDR4 up to 2400 MT/s",2,25.6,FALSE,200,1050,8,"eDP/DP/HDMI/MIPI-DSI",NA,NA,NA,FALSE,"2","1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2",6,105,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N3160","Launched",2016,14,107,4,4,1.6,3.3,2,4,6,TRUE,TRUE,8,"DDR3L-1600",2,25.6,FALSE,320,1050,8,"eDP/DP/HDMI",NA,NA,NA,FALSE,"2","1x4/2x2/1x2 + 2x1/4x1",4,90,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N3150","Launched",2015,14,107,4,4,1.6,3.3,2,4,6,FALSE,TRUE,8,"DDR3L-1600",2,25.6,FALSE,320,1050,8,"eDP/DP/HDMI",NA,NA,NA,FALSE,"2","1x4/2x2/1x2 + 2x1/4x1",4,90,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N3060","Launched",2016,14,107,2,2,1.6,3.3,2,4,6,TRUE,TRUE,8,"DDR3L-1600",2,25.6,FALSE,320,1050,8,"eDP/DP/HDMI",NA,NA,NA,FALSE,"2","1x4/2x2/1x2 + 2x1/4x1",4,90,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N3050","Launched",2015,14,107,2,2,1.6,3.3,2,4,6,FALSE,TRUE,8,"DDR3L-1600",2,25.6,FALSE,320,1050,8,"eDP/DP/HDMI",NA,NA,NA,FALSE,"2","1x4/2x2/1x2 + 2x1/4x1",4,90,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N3010","Launched",2016,14,107,2,2,1.04,3.3,2,4,4,TRUE,TRUE,8,"DDR3L-1600",2,25.6,FALSE,320,1050,8,"eDP/DP/HDMI",NA,NA,NA,FALSE,"2","1x4/2x2/1x2 + 2x1/4x1",4,90,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor N Series","Mobile","N3000","Launched",2015,14,107,2,2,1.04,3.3,2,4,4,FALSE,TRUE,8,"DDR3L-1600",2,25.6,FALSE,320,1050,8,"eDP/DP/HDMI",NA,NA,NA,FALSE,"2","1x4/2x2/1x2 + 2x1/4x1",4,90,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor 3000 Series","Mobile","3215U","Launched",2015,14,107,2,2,1.7,3.3,2,2,15,FALSE,TRUE,16,"DDR3L 1333/1600 LPDDR3 1333/1600",2,25.6,FALSE,300,850,8,"eDP/DP/HDMI",NA,NA,NA,TRUE,"2","4x1 2x4",12,105,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor 3000 Series","Mobile","3755U","Launched",2015,14,107,2,2,1.7,3.3,2,2,15,FALSE,TRUE,16,"DDR3L 1333/1600 LPDDR3 1333/1600",2,25.6,FALSE,100,800,8,"eDP/DP/HDMI",NA,NA,NA,TRUE,"2","4x1 2x4",12,105,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor 3000 Series","Mobile","3765U","Launched",2015,14,107,2,2,1.9,3.3,2,2,15,TRUE,TRUE,16,"DDR3L 1333/1600 LPDDR3 1333/1600",2,25.6,FALSE,300,850,8,"eDP/DP/HDMI",NA,NA,NA,TRUE,"2","4x1 2x4",12,105,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor 3000 Series","Mobile","3855U","Launched",2015,14,107,2,2,1.6,3.3,2,4,15,FALSE,TRUE,32,"DDR4-1866/2133, LPDDR3-1600/1866, DDR3L-1333/1600",2,34.1,FALSE,300,900,32,"eDP/DP/HDMI/DVI","4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"2","1x4, 2x2, 1x2+2x1 and 4x1",10,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor 3000 Series","Mobile","3955U","Launched",2015,14,107,2,2,2,3.3,2,4,15,TRUE,TRUE,32,"DDR4-1866/2133, LPDDR3-1600/1866, DDR3L-1333/1600",2,34.1,FALSE,300,900,32,"eDP/DP/HDMI/DVI","4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","1x4, 2x2, 1x2+2x1 and 4x1",12,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor 3000 Series","Mobile","3865U","Launched",2017,14,107,2,2,1.8,3.3,2,4,15,FALSE,TRUE,32,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1,FALSE,300,900,32,"eDP/DP/HDMI/DVI","4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"2","1x4, 2x2, 1x2+2x1 and 4x1",10,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor 3000 Series","Mobile","3965Y","Launched",2017,14,303,2,2,1.5,3.3,2,4,6,FALSE,TRUE,16,"LPDDR3-1866, DDR3L-1600",2,29.8,FALSE,300,850,16,"eDP/DP/HDMI/DVI","4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","1x4, 2x2, 1x2+2x1 and 4x1",10,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"Intel® Celeron® Processor 3000 Series","Mobile","3965U","Launched",2017,14,107,2,2,2.2,3.3,2,4,15,TRUE,TRUE,32,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1,FALSE,300,900,32,"eDP/DP/HDMI/DVI","4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"2","1x4, 2x2, 1x2+2x1 and 4x1",10,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2",TRUE,TRUE,TRUE,TRUE
"7th Generation Intel® Core™ i5 Processors","Mobile","i5-7Y54","Launched",2016,14,281,2,4,1.2,3.2,4,4,4.5,FALSE,TRUE,16,"LPDDR3-1866, DDR3L-1600",2,29.8,FALSE,300,950,16,"eDP/DP/HDMI/DVI","4096x2304@24Hz","3840x2160@60Hz","3840x2160@60Hz",TRUE,"3","1x4, 2x2, 1x2+2x1 and 4x1",10,100,TRUE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
"7th Generation Intel® Core™ i5 Processors","Mobile","i5-7200U","Launched",2016,14,281,2,4,2.5,3.1,3,4,15,FALSE,TRUE,32,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1,FALSE,300,1000,32,"eDP/DP/HDMI/DVI","4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","1x4, 2x2, 1x2+2x1 and 4x1",12,100,TRUE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
"7th Generation Intel® Core™ i5 Processors","Mobile","i5-7260U","Launched",2017,14,304,2,4,2.2,3.4,4,4,15,FALSE,TRUE,32,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1,FALSE,300,950,32,"eDP/DP/HDMI/DVI","4096x2304@30Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","1x4, 2x2, 1x2+2x1 and 4x1",12,100,TRUE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
"7th Generation Intel® Core™ i5 Processors","Mobile","i5-7267U","Launched",2017,14,303,2,4,3.1,3.5,4,4,28,FALSE,TRUE,32,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1,FALSE,300,1050,32,"eDP/DP/HDMI/DVI","4096x2304@30Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","1x4, 2x2, 1x2+2x1 and 4x1",12,100,TRUE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
"7th Generation Intel® Core™ i5 Processors","Mobile","i5-7287U","Launched",2017,14,303,2,4,3.3,3.7,4,4,28,FALSE,TRUE,32,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1,FALSE,300,1100,32,"eDP/DP/HDMI/DVI","4096x2304@30Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","1x4, 2x2, 1x2+2x1 and 4x1",12,100,TRUE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
"7th Generation Intel® Core™ i5 Processors","Mobile","i5-7300HQ","Launched",2017,14,250,4,4,2.5,3.5,6,4,45,FALSE,TRUE,64,"DDR4-2400, LPDDR3-2133, DDR3L-1600",2,34.1,FALSE,350,1000,64,"eDP/DP/HDMI/DVI","4096x2304@30Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","Up to 1x16, 2x8, 1x8+2x4",16,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
"7th Generation Intel® Core™ i5 Processors","Mobile","i5-7300U","Launched",2017,14,281,2,4,2.6,3.5,3,4,15,TRUE,TRUE,32,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1,FALSE,300,1100,32,"eDP/DP/HDMI/DVI","4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","1x4, 2x2, 1x2+2x1 and 4x1",12,100,TRUE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
"7th Generation Intel® Core™ i5 Processors","Mobile","i5-7360U","Launched",2017,14,304,2,4,2.3,3.6,4,4,15,FALSE,TRUE,32,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1,FALSE,300,1000,32,"eDP/DP/HDMI/DVI","4096x2304@30Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","1x4, 2x2, 1x2+2x1 and 4x1",12,100,TRUE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
"7th Generation Intel® Core™ i5 Processors","Desktop","i5-7400","Launched",2017,14,182,4,4,3,3.5,6,4,65,FALSE,TRUE,64,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,25.6,FALSE,350,1000,64,NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","Up to 1x16, 2x8, 1x8+2x4",16,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
"7th Generation Intel® Core™ i5 Processors","Desktop","i5-7400T","Launched",2017,14,184.5,4,4,2.4,3,6,4,35,FALSE,TRUE,64,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,25.6,FALSE,350,1000,64,NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","Up to 1x16, 2x8, 1x8+2x4",16,80,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
"7th Generation Intel® Core™ i5 Processors","Embedded","i5-7440EQ","Launched",2017,14,250,4,4,2.9,3.6,6,4,45,TRUE,TRUE,64,"DDR4-2400",2,34.1,FALSE,350,1000,64,"eDP/DP/HDMI/DVI","4096x2304@30Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","1x16,2x8,1x8+2x4",16,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
"7th Generation Intel® Core™ i5 Processors","Mobile","i5-7440HQ","Launched",2017,14,303,4,4,2.8,3.8,6,4,45,FALSE,TRUE,64,"DDR4-2400, LPDDR3-2133, DDR3L-1600",2,34.1,FALSE,350,1000,64,"eDP/DP/HDMI/DVI","4096x2304@30Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","Up to 1x16, 2x8, 1x8+2x4",16,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
"7th Generation Intel® Core™ i5 Processors","Embedded","i5-7442EQ","Launched",2017,14,250,4,4,2.1,2.9,6,4,25,TRUE,TRUE,64,"DDR4-2400",2,34.1,FALSE,350,1000,64,"eDP/DP/HDMI/DVI","4096x2304@30Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","1x16,2x8,1x8+2x4",16,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
"7th Generation Intel® Core™ i5 Processors","Desktop","i5-7500T","Launched",2017,14,197,4,4,2.7,3.3,6,4,35,TRUE,TRUE,64,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,25.6,FALSE,350,1100,64,NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","Up to 1x16, 2x8, 1x8+2x4",16,80,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
"7th Generation Intel® Core™ i5 Processors","Desktop","i5-7500","Launched",2017,14,197,4,4,3.4,3.8,6,4,65,TRUE,TRUE,64,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,25.6,FALSE,350,1100,64,NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","Up to 1x16, 2x8, 1x8+2x4",16,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
"7th Generation Intel® Core™ i5 Processors","Desktop","i5-7600","Launched",2017,14,218.5,4,4,3.5,4.1,6,4,65,FALSE,TRUE,64,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,25.6,FALSE,350,1150,64,NA,"4096x2304@24Hz","4096x2304@60Hz","4096x2304@60Hz",TRUE,"3","Up to 1x16, 2x8, 1x8+2x4",16,100,FALSE,"Yes",TRUE,"64-bit","SSE4.1/4.2, AVX 2.0",TRUE,TRUE,TRUE,TRUE
